,City,region,Res_Comm,mkt_type,Quradate,National_exp,Alabama_exp,Sales_exp,Inventory_exp,Price_exp,Credit_exp
0,Dothan,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Rural,2010-01-15,2.0,2.0,3.0,2.0,3.0,3.0
13933,Harvest,North_Huntsville-Decatur-Florence,Residential,Suburban_Urban,2010-01-15,3.0,3.0,3.0,3.0,3.0,3.0
705,Athens,North_Huntsville-Decatur-Florence,Residential,Suburban_Urban,2010-01-15,4.0,5.0,4.0,4.0,3.0,5.0
11808,Orange Beach,South_Mobile-Baldwin,Residential,Suburban_Urban,2010-01-15,3.0,4.0,4.0,3.0,3.0,3.0
13242,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Commercial,Suburban_Urban,2010-01-15,2.0,3.0,2.0,4.0,4.0,1.0
9905,Tuscaloosa,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,1.0,1.0,1.0,1.0,1.0,1.0
4082,Montgomery,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Suburban_Urban,2010-01-15,4.0,4.0,4.0,2.0,3.0,3.0
6965,Florence,North_Huntsville-Decatur-Florence,Residential,Suburban_Urban,2010-01-15,3.0,2.0,3.0,2.0,3.0,3.0
4099,Montgomery,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Commercial,Suburban_Urban,2010-01-15,2.0,4.0,3.0,4.0,3.0,4.0
9926,Phenix City,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Suburban_Urban,2010-01-15,1.0,3.0,4.0,3.0,2.0,3.0
1837,Rainbow City,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,2.0,2.0,3.0,3.0,3.0,3.0
13934,Tallassee,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Rural,2010-01-15,3.0,3.0,4.0,3.0,3.0,2.0
6938,Eclectic,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Rural,2010-01-15,4.0,4.0,4.0,4.0,3.0,3.0
